Code	ObjType	sf_AltName	ShortName	sf_Enum	sf_HierIndent	Notes	f_OutputFormNum	f_OutputFormTime	f_OutputFormText
CostFact	PM	Нет	Общая стоимость [Факт]	Нет	Нет			По умолчанию	Лево
CostTotal	PM	Нет	Общая стоимость [Итог]	Нет	Нет			По умолчанию	Лево
WorkLoadFact	PM	Нет	Трудоёмкость [Факт]	Нет	Нет			По умолчанию	Лево
WorkLoadSum	PM	Нет	Трудоёмкость [Итог]	Нет	Нет			По умолчанию	Лево
BSC	PM	Нет	Код PBS	Нет	Нет			По умолчанию	Лево
TimeCreation	PM	Нет	Дата составления	Нет	Нет			По умолчанию	Лево
TimeUpdate	PM	Нет	Дата обновления	Нет	Нет			По умолчанию	Лево
Stage	PM	Нет	Статус	Нет	Нет			По умолчанию	Лево
ACWP	PM	Нет	ФСВР	Нет	Нет			По умолчанию	Лево
BCWP	PM	Нет	ПСВР	Нет	Нет			По умолчанию	Лево
BCWS	PM	Нет	ПСЗР	Нет	Нет			По умолчанию	Лево
CV	PM	Нет	ОСТ	Нет	Нет			По умолчанию	Лево
CV%	PM	Нет	ОСТ%	Нет	Нет			По умолчанию	Лево
SV	PM	Нет	ОСР	Нет	Нет			По умолчанию	Лево
SV%	PM	Нет	ОСР%	Нет	Нет			По умолчанию	Лево
CPI	PM	Нет	ИВСТ	Нет	Нет			По умолчанию	Лево
CPI%	PM	Нет	ИВСТ%	Нет	Нет			По умолчанию	Лево
SPI	PM	Нет	ИВСР	Нет	Нет			По умолчанию	Лево
SPI%	PM	Нет	ИВСР%	Нет	Нет			По умолчанию	Лево
f_PF	PM	Нет	КИ	Нет	Нет			По умолчанию	Лево
f_BAC	PM	Нет	БПЗ	Нет	Нет			По умолчанию	Лево
f_EAC	PM	Нет	ППЗ	Нет	Нет			По умолчанию	Лево
f_VAC	PM	Нет	ОПЗ	Нет	Нет			По умолчанию	Лево
f_VAC%	PM	Нет	ОПЗ%	Нет	Нет			По умолчанию	Лево
f_TCPI	PM	Нет	ИПЗ	Нет	Нет			По умолчанию	Лево
f_PSc	PM	Нет	З%	Нет	Нет			По умолчанию	Лево
f_PSp	PM	Нет	Ф%	Нет	Нет			По умолчанию	Лево
SumVol	PM	Нет	Суммировать объёмы	Нет	Нет			По умолчанию	Лево
f_RowColor	PM	Нет	Цвет фона	Нет	Нет			По умолчанию	Лево
f_FontColor	PM	Нет	Цвет текста	Нет	Нет			По умолчанию	Лево
Color	PM	Нет	Цвет графика	Нет	Нет			По умолчанию	Лево
f_UniId	PM	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
Code	O	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	O	Нет	Название	Нет	Нет			По умолчанию	Лево
DPH	O	Нет	Тип ДПГ	Нет	Нет			По умолчанию	Лево
Type	O	Нет	Тип	Нет	Нет			По умолчанию	Лево
Split	O	Нет	Прерываемость	Нет	Нет			По умолчанию	Лево
Alap	O	Нет	КМР / КМП	Нет	Нет			По умолчанию	Лево
Notes	O	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Folder	O	Нет	Ссылки на документы, сайты, папки (URL)	Нет	Нет			По умолчанию	Лево
ShortName	O	Нет	Краткое название	Нет	Нет			По умолчанию	Лево
Start	O	Нет	Начало	Нет	Нет			По умолчанию	Лево
Fin	O	Нет	Окончание	Нет	Нет			По умолчанию	Лево
DurPlan	O	Нет	Длительность, Часы [План]	Нет	Нет			По умолчанию	Лево
DurPlanD	O	Нет	Длительность, Дни [План]	Нет	Нет			По умолчанию	Лево
NumDays	O	Нет	Количество дней работы [План]	Нет	Нет			По умолчанию	Лево
VolPlan	O	Нет	Объём [План]	Нет	Нет			По умолчанию	Лево
VolFact	O	Нет	Объём [Факт]	Нет	Нет			По умолчанию	Лево
VolSum	O	Нет	Объём [Итог]	Нет	Нет			По умолчанию	Лево
Unit	O	Нет	Единица объёма	Нет	Нет			По умолчанию	Лево
CostPlan	O	Нет	Общая стоимость [План]	Нет	Нет			По умолчанию	Лево
Reserv	O	Нет	Резерв полный, Часы	Нет	Нет			По умолчанию	Лево
ReservD	O	Нет	Резерв полный, Дни	Нет	Нет			По умолчанию	Лево
ReservFinH	O	Нет	Резерв полный, Окончание, Часы	Нет	Нет			По умолчанию	Лево
ReservFinD	O	Нет	Резерв полный, Окончание, Дни	Нет	Нет			По умолчанию	Лево
ReservSuperH	O	Нет	Резерв супер, Часы	Нет	Нет			По умолчанию	Лево
ReservSuperD	O	Нет	Резерв супер, Дни	Нет	Нет			По умолчанию	Лево
f_FreeReservH	O	Нет	Резерв свободный, Часы	Нет	Нет			По умолчанию	Лево
f_FreeReservD	O	Нет	Резерв свободный, Дни	Нет	Нет			По умолчанию	Лево
f_ReservNegFinH	O	Нет	Резерв отрицательный, Окончание, Часы	Нет	Нет			По умолчанию	Лево
f_ReservNegFinD	O	Нет	Резерв отрицательный, Окончание, Дни	Нет	Нет			По умолчанию	Лево
f_ReservNegStartH	O	Нет	Резерв отрицательный, Начало, Часы	Нет	Нет			По умолчанию	Лево
f_ReservNegStartD	O	Нет	Резерв отрицательный, Начало, Дни	Нет	Нет			По умолчанию	Лево
f_FlexStartH	O	Нет	Начало FLEX, Часы	Нет	Нет			По умолчанию	Лево
f_FlexStartD	O	Нет	Начало FLEX, Дни	Нет	Нет			По умолчанию	Лево
f_FlexFinH	O	Нет	Окончание FLEX, Часы	Нет	Нет			По умолчанию	Лево
f_FlexFinD	O	Нет	Окончание FLEX, Дни	Нет	Нет			По умолчанию	Лево
f_DRAGH	O	Нет	ДРАГ, Часы	Нет	Нет			По умолчанию	Лево
f_DRAGD	O	Нет	ДРАГ, Дни	Нет	Нет			По умолчанию	Лево
Calen	O	Нет	Календарь	Нет	Нет			По умолчанию	Лево
Prior	O	Нет	Приоритет	Нет	Нет			По умолчанию	Лево
TeamDur	O	Нет	Длительность команд общая, Часы [План]	Нет	Нет			По умолчанию	Лево
TeamDurD	O	Нет	Длительность команд общая, Дни [План]	Нет	Нет			По умолчанию	Лево
AsapStart	O	Нет	Начало [КМР]	Нет	Нет			По умолчанию	Лево
AsapFin	O	Нет	Окончание [КМР]	Нет	Нет			По умолчанию	Лево
AlapStart	O	Нет	Начало [КМП]	Нет	Нет			По умолчанию	Лево
AlapFin	O	Нет	Окончание [КМП]	Нет	Нет			По умолчанию	Лево
FinSuperAlap	O	Нет	Окончание [Предельное]	Нет	Нет			По умолчанию	Лево
FactStart	O	Нет	Начало [Факт]	Нет	Нет			По умолчанию	Лево
FactFin	O	Нет	Окончание [Факт]	Нет	Нет			По умолчанию	Лево
StartDir	O	Нет	Начало [НРЧ]	Нет	Нет			По умолчанию	Лево
FinDir	O	Нет	Окончание [НПЧ]	Нет	Нет			По умолчанию	Лево
DurFact	O	Нет	Длительность, Часы [Факт]	Нет	Нет			По умолчанию	Лево
DurFactD	O	Нет	Длительность, Дни [Факт]	Нет	Нет			По умолчанию	Лево
NumDaysFact	O	Нет	Количество дней работы [Факт]	Нет	Нет			По умолчанию	Лево
DurSum	O	Нет	Длительность, Часы [Итог]	Нет	Нет			По умолчанию	Лево
DurSumD	O	Нет	Длительность, Дни [Итог]	Нет	Нет			По умолчанию	Лево
NumDaysSum	O	Нет	Количество дней работы [Итог]	Нет	Нет			По умолчанию	Лево
CostFact	O	Нет	Общая стоимость [Факт]	Нет	Нет			По умолчанию	Лево
CostTotal	O	Нет	Общая стоимость [Итог]	Нет	Нет			По умолчанию	Лево
WorkLoadPlan	O	Нет	Трудоёмкость [План]	Нет	Нет			По умолчанию	Лево
WorkLoadFact	O	Нет	Трудоёмкость [Факт]	Нет	Нет			По умолчанию	Лево
WorkLoadSum	O	Нет	Трудоёмкость [Итог]	Нет	Нет			По умолчанию	Лево
ObjCode	O	Нет	Код проекта	Нет	Нет			По умолчанию	Лево
SaveCode	O	Нет	Код в исходном проекте	Нет	Нет			По умолчанию	Лево
TargetStart	O	Нет	Начало [Критическое]	Нет	Нет			По умолчанию	Лево
TargetFin	O	Нет	Окончание [Критическое]	Нет	Нет			По умолчанию	Лево
rReserv	O	Нет	Начало [Буфер]	Нет	Нет			По умолчанию	Лево
rReservFin	O	Нет	Окончание [Буфер]	Нет	Нет			По умолчанию	Лево
rCostPlan	O	Нет	Общая стоимость [Критическая]	Нет	Нет			По умолчанию	Лево
rCostDiff	O	Нет	Общая стоимость [Буфер]	Нет	Нет			По умолчанию	Лево
ProbTerm	O	Нет	Окончание [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
ContFin	O	Нет	Окончание [Директивное]	Нет	Нет			По умолчанию	Лево
CostContr	O	Нет	Общая стоимость [Директивная]	Нет	Нет			По умолчанию	Лево
CostProb	O	Нет	Общая стоимость [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
EarlyStart	O	Нет	Начало [Раннее]	Нет	Нет			По умолчанию	Лево
EarlyFin	O	Нет	Окончание [Раннее]	Нет	Нет			По умолчанию	Лево
CalcDif	O	Нет	Считать тренды отклонений	Нет	Нет			По умолчанию	Лево
MultSpend	O	Нет	Масштабируемая	Нет	Нет			По умолчанию	Лево
f_ContinuousWork	O	Нет	Непрерывность выполнения	Нет	Нет			По умолчанию	Лево
f_SwitchCondition	O	Нет	Состояние переключателя	Нет	Нет			По умолчанию	Лево
Formula	O	Нет	Формула для состояния переключателя	Нет	Нет			По умолчанию	Лево
f_BrokenLink	O	Нет	Нарушена входящая связь по факту	Нет	Нет			По умолчанию	Лево
f_BrokenLink2	O	Нет	Нарушена входящая связь по факту в сравниваемом проекте	Нет	Нет			По умолчанию	Лево
f_DelayReason	O	Нет	Причина отложенности	Нет	Нет			По умолчанию	Лево
f_InterruptNotLong	O	Нет	Ограничивать непрерывный простой	Нет	Нет			По умолчанию	Лево
f_InterruptNotLongDur	O	Нет	Ограничивать непрерывный простой [Длительность]	Нет	Нет			По умолчанию	Лево
f_InterruptNotLongUnit	O	Нет	Ограничивать непрерывный простой [Единица измерения]	Нет	Нет			По умолчанию	Лево
ACWP	O	Нет	ФСВР	Нет	Нет			По умолчанию	Лево
BCWP	O	Нет	ПСВР	Нет	Нет			По умолчанию	Лево
BCWS	O	Нет	ПСЗР	Нет	Нет			По умолчанию	Лево
CV	O	Нет	ОСТ	Нет	Нет			По умолчанию	Лево
CV%	O	Нет	ОСТ%	Нет	Нет			По умолчанию	Лево
SV	O	Нет	ОСР	Нет	Нет			По умолчанию	Лево
SV%	O	Нет	ОСР%	Нет	Нет			По умолчанию	Лево
CPI	O	Нет	ИВСТ	Нет	Нет			По умолчанию	Лево
CPI%	O	Нет	ИВСТ%	Нет	Нет			По умолчанию	Лево
SPI	O	Нет	ИВСР	Нет	Нет			По умолчанию	Лево
SPI%	O	Нет	ИВСР%	Нет	Нет			По умолчанию	Лево
f_PF	O	Нет	КИ	Нет	Нет			По умолчанию	Лево
f_BAC	O	Нет	БПЗ	Нет	Нет			По умолчанию	Лево
f_EAC	O	Нет	ППЗ	Нет	Нет			По умолчанию	Лево
f_VAC	O	Нет	ОПЗ	Нет	Нет			По умолчанию	Лево
f_VAC%	O	Нет	ОПЗ%	Нет	Нет			По умолчанию	Лево
f_TCPI	O	Нет	ИПЗ	Нет	Нет			По умолчанию	Лево
f_PSc	O	Нет	З%	Нет	Нет			По умолчанию	Лево
f_PSp	O	Нет	Ф%	Нет	Нет			По умолчанию	Лево
ResCentQuan	O	Нет	Центр ресурсов [Количество]	Нет	Нет			По умолчанию	Лево
ResCentHour	O	Нет	Центр ресурсов [Трудоёмкость]	Нет	Нет			По умолчанию	Лево
f_CritIndex	O	Нет	Индекс критичности	Нет	Нет			По умолчанию	Лево
f_CritMC	O	Нет	На критическом пути Монте-Карло	Нет	Нет			По умолчанию	Лево
f_DoMC	O	Нет	Проводить анализ Монте-Карло	Нет	Нет			По умолчанию	Лево
f_DistrTypeMC	O	Нет	Распределение вероятности	Нет	Нет			По умолчанию	Лево
f_TriggerProb	O	Нет	Вероятность триггера	Нет	Нет			По умолчанию	Лево
f_PredOpers	O	Нет	Предшествующие операции	Нет	Нет			По умолчанию	Лево
f_SuccOpers	O	Нет	Последующие операции	Нет	Нет			По умолчанию	Лево
f_Resources	O	Нет	Назначенные ресурсы	Нет	Нет			По умолчанию	Лево
f_Aggregated	O	Нет	Укрупнённая	Нет	Нет			По умолчанию	Лево
f_PortBoundBeg	O	Нет	Ограничение портфеля на начало	Нет	Нет			По умолчанию	Лево
f_PortBoundEnd	O	Нет	Ограничение портфеля на окончание	Нет	Нет			По умолчанию	Лево
Number	O	Нет	Количество	Нет	Нет			По умолчанию	Лево
f_SpecType	O	Нет	Специальный тип	Нет	Нет			По умолчанию	Лево
f_CompStatus	O	Нет	Статус при сравнении	Нет	Нет			По умолчанию	Лево
f_AutoMileStone	O	Нет	Выполняется автоматически [для контрольных событий и гамаков]	Нет	Нет			По умолчанию	Лево
f_TakeInSched	O	Нет	Учитывать в расчёте расписания	Нет	Нет			По умолчанию	Лево
LocStart	O	Нет	Местоположение начала	Нет	Нет			По умолчанию	Лево
LocFin	O	Нет	Местоположение окончания	Нет	Нет			По умолчанию	Лево
f_PriorRelative	O	Нет	Приоритет относительный	Нет	Нет			По умолчанию	Лево
f_UseFormula	O	Нет	Использовать формулу для состояния переключателя	Нет	Нет			По умолчанию	Лево
f_RowColor	O	Нет	Цвет фона	Нет	Нет			По умолчанию	Лево
f_FontColor	O	Нет	Цвет текста	Нет	Нет			По умолчанию	Лево
Color	O	Нет	Цвет графика	Нет	Нет			По умолчанию	Лево
f_UniId	O	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
Code	M	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	M	Нет	Название	Нет	Нет			По умолчанию	Лево
Unit	M	Нет	Единица измерения	Нет	Нет			По умолчанию	Лево
Type	M	Нет	Тип	Нет	Нет			По умолчанию	Лево
ShortName	M	Нет	Имя для колонок	Нет	Нет			По умолчанию	Лево
Notes	M	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Folder	M	Нет	Ссылки на документы, сайты, папки (URL)	Нет	Нет			По умолчанию	Лево
f_pln_Consum	M	Нет	Расходы [План]	Нет	Нет			По умолчанию	Лево
f_act_Consum	M	Нет	Расходы [Факт]	Нет	Нет			По умолчанию	Лево
f_sum_Consum	M	Нет	Расходы [Итог]	Нет	Нет			По умолчанию	Лево
f_pln_Supply	M	Нет	Поставки [План]	Нет	Нет			По умолчанию	Лево
f_act_Supply	M	Нет	Поставки [Факт]	Нет	Нет			По умолчанию	Лево
f_sum_Supply	M	Нет	Поставки [Итог]	Нет	Нет			По умолчанию	Лево
f_pln_Total	M	Нет	Всего [План]	Нет	Нет			По умолчанию	Лево
f_act_Total	M	Нет	Всего [Факт]	Нет	Нет			По умолчанию	Лево
f_sum_Total	M	Нет	Всего [Итог]	Нет	Нет			По умолчанию	Лево
SpendInt	M	Нет	Дискретный расход	Нет	Нет			По умолчанию	Лево
SpendLess	M	Нет	Единица материала тратится только целиком	Нет	Нет			По умолчанию	Лево
f_OutputFormNum	M	Нет	Десятичных знаков	Нет	Нет			По умолчанию	Лево
DurPlan	M	Нет	Длительность, Часы [План]	Нет	Нет			По умолчанию	Лево
DurPlanD	M	Нет	Длительность, Дни [План]	Нет	Нет			По умолчанию	Лево
DurFact	M	Нет	Длительность, Часы [Факт]	Нет	Нет			По умолчанию	Лево
DurFactD	M	Нет	Длительность, Дни [Факт]	Нет	Нет			По умолчанию	Лево
DurSum	M	Нет	Длительность, Часы [Итог]	Нет	Нет			По умолчанию	Лево
DurSumD	M	Нет	Длительность, Дни [Итог]	Нет	Нет			По умолчанию	Лево
Calen	M	Нет	Средний рабочий день из календаря	Нет	Нет			По умолчанию	Лево
f_DoMC	M	Нет	Проводить анализ Монте-Карло	Нет	Нет			По умолчанию	Лево
f_UseInSched	M	Нет	Использовать при расчётах	Нет	Нет			По умолчанию	Лево
f_RowColor	M	Нет	Цвет фона	Нет	Нет			По умолчанию	Лево
f_FontColor	M	Нет	Цвет текста	Нет	Нет			По умолчанию	Лево
Color	M	Нет	Цвет графика	Нет	Нет			По умолчанию	Лево
f_UniId	M	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
Code	R	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	R	Нет	Название	Нет	Нет			По умолчанию	Лево
Type	R	Нет	Тип	Нет	Нет			По умолчанию	Лево
Notes	R	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Folder	R	Нет	Ссылки на документы, сайты, папки (URL)	Нет	Нет			По умолчанию	Лево
ShortName	R	Нет	Краткое название	Нет	Нет			По умолчанию	Лево
Number	R	Нет	Количество	Нет	Нет			По умолчанию	Лево
NumPlan	R	Нет	Количество [План]	Нет	Нет			По умолчанию	Лево
Calen	R	Нет	Календарь	Нет	Нет			По умолчанию	Лево
CostPlan	R	Нет	Общая стоимость [План]	Нет	Нет			По умолчанию	Лево
CostFact	R	Нет	Общая стоимость [Факт]	Нет	Нет			По умолчанию	Лево
CostTotal	R	Нет	Общая стоимость [Итог]	Нет	Нет			По умолчанию	Лево
DurPlan	R	Нет	Длительность, Часы [План]	Нет	Нет			По умолчанию	Лево
DurPlanD	R	Нет	Длительность, Дни [План]	Нет	Нет			По умолчанию	Лево
NumDays	R	Нет	Количество дней работы [План]	Нет	Нет			По умолчанию	Лево
VolPlan	R	Нет	Объём [План]	Нет	Нет			По умолчанию	Лево
VolFact	R	Нет	Объём [Факт]	Нет	Нет			По умолчанию	Лево
VolSum	R	Нет	Объём [Итог]	Нет	Нет			По умолчанию	Лево
DurFact	R	Нет	Длительность, Часы [Факт]	Нет	Нет			По умолчанию	Лево
DurFactD	R	Нет	Длительность, Дни [Факт]	Нет	Нет			По умолчанию	Лево
NumDaysFact	R	Нет	Количество дней работы [Факт]	Нет	Нет			По умолчанию	Лево
DurSum	R	Нет	Длительность, Часы [Итог]	Нет	Нет			По умолчанию	Лево
DurSumD	R	Нет	Длительность, Дни [Итог]	Нет	Нет			По умолчанию	Лево
NumDaysSum	R	Нет	Количество дней работы [Итог]	Нет	Нет			По умолчанию	Лево
Start	R	Нет	Начало	Нет	Нет			По умолчанию	Лево
Fin	R	Нет	Окончание	Нет	Нет			По умолчанию	Лево
ReservD	R	Нет	Резерв полный, Дни	Нет	Нет			По умолчанию	Лево
Reserv	R	Нет	Резерв полный, Часы	Нет	Нет			По умолчанию	Лево
AsapStart	R	Нет	Начало [КМР]	Нет	Нет			По умолчанию	Лево
AsapFin	R	Нет	Окончание [КМР]	Нет	Нет			По умолчанию	Лево
AlapStart	R	Нет	Начало [КМП]	Нет	Нет			По умолчанию	Лево
AlapFin	R	Нет	Окончание [КМП]	Нет	Нет			По умолчанию	Лево
FactStart	R	Нет	Начало [Факт]	Нет	Нет			По умолчанию	Лево
FactFin	R	Нет	Окончание [Факт]	Нет	Нет			По умолчанию	Лево
Unit	R	Нет	Единица измерения трудоёмкости / объёма	Нет	Нет			По умолчанию	Лево
WorkLoadPlan	R	Нет	Трудоёмкость [План]	Нет	Нет			По умолчанию	Лево
WorkLoadFact	R	Нет	Трудоёмкость [Факт]	Нет	Нет			По умолчанию	Лево
WorkLoadSum	R	Нет	Трудоёмкость [Итог]	Нет	Нет			По умолчанию	Лево
Notify	R	Нет	Уведомлять перед началом и окончанием Работ	Нет	Нет			По умолчанию	Лево
MailAddress	R	Нет	E-mail адрес	Нет	Нет			По умолчанию	Лево
f_SumWorkLoad	R	Нет	Добавлять трудоёмкость назначения к трудоёмкости операции	Нет	Нет			По умолчанию	Лево
ContentCodes	R	Нет	Сверхурочные [Коды]	Нет	Нет			По умолчанию	Лево
ContentNames	R	Нет	Сверхурочные [Названия]	Нет	Нет			По умолчанию	Лево
f_ResPools	R	Нет	Роли ресурсов	Нет	Нет			По умолчанию	Лево
f_ResMults	R	Нет	Мультиресурсы	Нет	Нет			По умолчанию	Лево
f_RowColor	R	Нет	Цвет фона	Нет	Нет			По умолчанию	Лево
f_FontColor	R	Нет	Цвет текста	Нет	Нет			По умолчанию	Лево
Color	R	Нет	Цвет графика	Нет	Нет			По умолчанию	Лево
f_UseInSched	R	Нет	Использовать при расчётах	Нет	Нет			По умолчанию	Лево
f_UniId	R	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
Code	W	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	W	Нет	Название	Нет	Нет			По умолчанию	Лево
MeanWorkDay	W	Нет	Средний рабочий день	Нет	Нет			По умолчанию	Лево
WorkDays	W	Нет	Число рабочих дней	Нет	Нет			По умолчанию	Лево
WorkHours	W	Нет	Всего Рабочих Часов	Нет	Нет			По умолчанию	Лево
Notes	W	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Mon	W	Нет	1-ПН	Нет	Нет			По умолчанию	Лево
Tue	W	Нет	2-ВТ	Нет	Нет			По умолчанию	Лево
Wed	W	Нет	3-СР	Нет	Нет			По умолчанию	Лево
Thu	W	Нет	4-ЧТ	Нет	Нет			По умолчанию	Лево
Fri	W	Нет	5-ПТ	Нет	Нет			По умолчанию	Лево
Sat	W	Нет	6-СБ	Нет	Нет			По умолчанию	Лево
Sun	W	Нет	7-ВС	Нет	Нет			По умолчанию	Лево
MonTime	W	Нет	1-Понедельник	Нет	Нет			По умолчанию	Лево
TueTime	W	Нет	2-Вторник	Нет	Нет			По умолчанию	Лево
WedTime	W	Нет	3-Среда	Нет	Нет			По умолчанию	Лево
ThuTime	W	Нет	4-Четверг	Нет	Нет			По умолчанию	Лево
FriTime	W	Нет	5-Пятница	Нет	Нет			По умолчанию	Лево
SatTime	W	Нет	6-Суббота	Нет	Нет			По умолчанию	Лево
SunTime	W	Нет	7-Воскресенье	Нет	Нет			По умолчанию	Лево
f_UniId	W	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
Code	CA	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	CA	Нет	Название	Нет	Нет			По умолчанию	Лево
MeanWorkDay	CA	Нет	Средний рабочий день	Нет	Нет			По умолчанию	Лево
WorkDays	CA	Нет	Число рабочих дней	Нет	Нет			По умолчанию	Лево
WorkHours	CA	Нет	Всего Рабочих Часов	Нет	Нет			По умолчанию	Лево
Notes	CA	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Main	CA	Нет	Основной	Нет	Нет			По умолчанию	Лево
WeekCode	CA	Нет	Код недели	Нет	Нет			По умолчанию	Лево
WeekName	CA	Нет	Название недели	Нет	Нет			По умолчанию	Лево
Mon	CA	Нет	1-ПН	Нет	Нет			По умолчанию	Лево
Tue	CA	Нет	2-ВТ	Нет	Нет			По умолчанию	Лево
Wed	CA	Нет	3-СР	Нет	Нет			По умолчанию	Лево
Thu	CA	Нет	4-ЧТ	Нет	Нет			По умолчанию	Лево
Fri	CA	Нет	5-ПТ	Нет	Нет			По умолчанию	Лево
Sat	CA	Нет	6-СБ	Нет	Нет			По умолчанию	Лево
Sun	CA	Нет	7-ВС	Нет	Нет			По умолчанию	Лево
MonTime	CA	Нет	1-Понедельник	Нет	Нет			По умолчанию	Лево
TueTime	CA	Нет	2-Вторник	Нет	Нет			По умолчанию	Лево
WedTime	CA	Нет	3-Среда	Нет	Нет			По умолчанию	Лево
ThuTime	CA	Нет	4-Четверг	Нет	Нет			По умолчанию	Лево
FriTime	CA	Нет	5-Пятница	Нет	Нет			По умолчанию	Лево
SatTime	CA	Нет	6-Суббота	Нет	Нет			По умолчанию	Лево
SunTime	CA	Нет	7-Воскресенье	Нет	Нет			По умолчанию	Лево
ContentCodes	CA	Нет	Календарные исключения [коды]	Нет	Нет			По умолчанию	Лево
ContentNames	CA	Нет	Календарные исключения [названия]	Нет	Нет			По умолчанию	Лево
f_UniId	CA	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
PredCode	L	Нет	Код предшествующей	Нет	Нет			По умолчанию	Лево
SuccCode	L	Нет	Код последующей	Нет	Нет			По умолчанию	Лево
PredName	L	Нет	Название предшествующей	Нет	Нет			По умолчанию	Лево
SuccName	L	Нет	Название последующей	Нет	Нет			По умолчанию	Лево
Notes	L	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
AssIndex	L	Нет	Индекс	Нет	Нет			По умолчанию	Лево
TypeSF	L	Нет	Тип	Нет	Нет			По умолчанию	Лево
LagType	L	Нет	Тип задержки	Нет	Нет			По умолчанию	Лево
Lag	L	Нет	Задержка	Нет	Нет			По умолчанию	Лево
LagUnit	L	Нет	Единица задержки	Нет	Нет			По умолчанию	Лево
Calen	L	Нет	Календарь задержки	Нет	Нет			По умолчанию	Лево
Severity	L	Нет	Жёсткость	Нет	Нет			По умолчанию	Лево
Main	L	Нет	Основная	Нет	Нет			По умолчанию	Лево
f_LinkCrit	L	Нет	Критическая	Нет	Нет			По умолчанию	Лево
SkipInCalc	L	Нет	Использовать при расчётах	Нет	Нет			По умолчанию	Лево
f_LinkCondition	L	Нет	Условие переключателя	Нет	Нет			По умолчанию	Лево
f_LinkState	L	Нет	Условие триггера	Нет	Нет			По умолчанию	Лево
f_BrokenLink	L	Нет	Нарушена по факту	Нет	Нет			По умолчанию	Лево
f_BrokenLink2	L	Нет	Нарушена по факту в прошлом	Нет	Нет			По умолчанию	Лево
f_ResourLink	L	Нет	Ресурсная зависимость	Нет	Нет			По умолчанию	Лево
f_LinkKind	L	Нет	Вид	Нет	Нет			По умолчанию	Лево
f_Double	L	Нет	Двойная задержка	Нет	Нет			По умолчанию	Лево
f_LagType2	L	Нет	Тип задержки 2	Нет	Нет			По умолчанию	Лево
f_Lag2	L	Нет	Задержка 2	Нет	Нет			По умолчанию	Лево
f_LagUnit2	L	Нет	Единица второй задержки	Нет	Нет			По умолчанию	Лево
f_Calen2	L	Нет	Календарь 2	Нет	Нет			По умолчанию	Лево
f_CompStatus	L	Нет	Статус при сравнении	Нет	Нет			По умолчанию	Лево
f_RemainingLag	L	Нет	Оставшаяся задержка	Нет	Нет			По умолчанию	Лево
f_RowColor	L	Нет	Цвет фона	Нет	Нет			По умолчанию	Лево
f_FontColor	L	Нет	Цвет текста	Нет	Нет			По умолчанию	Лево
Color	L	Нет	Цвет графика	Нет	Нет			По умолчанию	Лево
f_UniId	L	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
OperCode	A	Нет	Код операции	Нет	Нет			По умолчанию	Лево
ResCode	A	Нет	Код ресурса	Нет	Нет			По умолчанию	Лево
OperName	A	Нет	Название операции	Нет	Нет			По умолчанию	Лево
ResName	A	Нет	Название ресурса	Нет	Нет			По умолчанию	Лево
DPH	A	Нет	Тип ДПГ	Нет	Нет			По умолчанию	Лево
Type	A	Нет	Тип	Нет	Нет			По умолчанию	Лево
Split	A	Нет	Прерываемость	Нет	Нет			По умолчанию	Лево
Alap	A	Нет	КМР / КМП	Нет	Нет			По умолчанию	Лево
Notes	A	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Folder	A	Нет	Ссылки на документы, сайты, папки (URL)	Нет	Нет			По умолчанию	Лево
AssIndex	A	Нет	Индекс	Нет	Нет			По умолчанию	Лево
Start	A	Нет	Начало	Нет	Нет			По умолчанию	Лево
Fin	A	Нет	Окончание	Нет	Нет			По умолчанию	Лево
DurPlan	A	Нет	Длительность, Часы [План]	Нет	Нет			По умолчанию	Лево
DurPlanD	A	Нет	Длительность, Дни [План]	Нет	Нет			По умолчанию	Лево
NumDays	A	Нет	Количество дней работы [План]	Нет	Нет			По умолчанию	Лево
VolPlan	A	Нет	Объём [План]	Нет	Нет			По умолчанию	Лево
VolFact	A	Нет	Объём [Факт]	Нет	Нет			По умолчанию	Лево
VolSum	A	Нет	Объём [Итог]	Нет	Нет			По умолчанию	Лево
Unit	A	Нет	Единица объёма	Нет	Нет			По умолчанию	Лево
