Code	ObjType	sf_AltName	ShortName	sf_Enum	sf_HierIndent	Notes	f_OutputFormNum	f_OutputFormTime	f_OutputFormText
AlapStart	PH	Нет	Начало [КМП]	Нет	Нет			По умолчанию	Лево
AlapFin	PH	Нет	Окончание [КМП]	Нет	Нет			По умолчанию	Лево
FinSuperAlap	PH	Нет	Окончание [Предельное]	Нет	Нет			По умолчанию	Лево
FactStart	PH	Нет	Начало [Факт]	Нет	Нет			По умолчанию	Лево
FactFin	PH	Нет	Окончание [Факт]	Нет	Нет			По умолчанию	Лево
StartDir	PH	Нет	Начало [НРЧ]	Нет	Нет			По умолчанию	Лево
FinDir	PH	Нет	Окончание [НПЧ]	Нет	Нет			По умолчанию	Лево
DurFact	PH	Нет	Длительность, Часы [Факт]	Нет	Нет			По умолчанию	Лево
DurFactD	PH	Нет	Длительность, Дни [Факт]	Нет	Нет			По умолчанию	Лево
NumDaysFact	PH	Нет	Количество дней работы [Факт]	Нет	Нет			По умолчанию	Лево
DurSum	PH	Нет	Длительность, Часы [Итог]	Нет	Нет			По умолчанию	Лево
DurSumD	PH	Нет	Длительность, Дни [Итог]	Нет	Нет			По умолчанию	Лево
NumDaysSum	PH	Нет	Количество дней работы [Итог]	Нет	Нет			По умолчанию	Лево
CostFact	PH	Нет	Общая стоимость [Факт]	Нет	Нет			По умолчанию	Лево
CostTotal	PH	Нет	Общая стоимость [Итог]	Нет	Нет			По умолчанию	Лево
WorkLoadFact	PH	Нет	Трудоёмкость [Факт]	Нет	Нет			По умолчанию	Лево
WorkLoadSum	PH	Нет	Трудоёмкость [Итог]	Нет	Нет			По умолчанию	Лево
BSC	PH	Нет	Код WBS	Нет	Нет			По умолчанию	Лево
TargetStart	PH	Нет	Начало [Критическое]	Нет	Нет			По умолчанию	Лево
TargetFin	PH	Нет	Окончание [Критическое]	Нет	Нет			По умолчанию	Лево
rReserv	PH	Нет	Начало [Буфер]	Нет	Нет			По умолчанию	Лево
