ObjCode	StructCode	Start	Fin	DurPlan	DurPlanD	DurSum	DurSumD	NumDays	NumDaysSum	CostTotal	CostPlan	CostFact	WorkLoadSum	WorkLoadPlan	WorkLoadFact	VolPlan	VolFact	VolSum	Reserv	ReservD	ReservFinH	ReservFinD	ReservSuperH	ReservSuperD	f_FreeReservH	f_FreeReservD	f_ReservNegFinH	f_ReservNegFinD	f_ReservNegStartH	f_ReservNegStartD	f_FlexStartH	f_FlexStartD	f_FlexFinH	f_FlexFinD	f_DRAGH	f_DRAGD	EarlyStart	EarlyFin	AsapStart	AsapFin	AlapStart	AlapFin	FinSuperAlap	NPV	NPV_Plan	IRR	IRR_Plan	PayBackMoment	ResCentQuan	ResCentHour	f_InArea	DurFact	DurFactD	NumDaysFact	f_UniId
main	1									165651.369183657	19919.4326904354	145731.936493222																																											577
main	1									252488.419464081	25337.3770255174	227151.042438563																																											578
main	1									232161.064576645	24069.1110387764	208091.953537869																																											579
main	1									200306.050870389	22081.6104212815	178224.440449107																																											580
main	1									242536.884313435	24716.4800314267	217820.404282008																																											581
main	1									243587.784304449	24782.0478695173	218805.736434931																																											582
main	1									176380.673202423	20588.8563032841	155791.816899139																																											583
main	1									218551.533833432	23219.9840848414	195331.549748591																																											584
main	1									190477.847421341	21468.4083487924	169009.439072549																																											585
main	1									236837.504127542	24360.8838372686	212476.620290274																																											586
main	1									248641.8089205	25097.3789862409	223544.42993426																																											587
main	1									275974.144527817	26802.7003023152	249171.444225502																																											588
main	1									238508.712247954	24465.1539908435	214043.558257111																																											589
main	1									196891.990387965	21868.600080757	175023.390307208																																											590
main	1									205813.65253436	22425.2411542329	183388.411380127																																											591
main	1									232340.363292893	24080.2978589279	208260.065433965																																											592
main	1									246568.54955693	24968.024018658	221600.525538272																																											593
main	1									167241.730251662	20018.6586281119	147223.07162355																																											594
main	1									230071.991231152	23938.7694039415	206133.22182721																																											595
main	1									216997.692829038	23123.0367099572	193874.656119081																																											596
main	1									217802.061534715	23173.2229479531	194628.838586762																																											597
main	1									212571.307968469	22846.8653441315	189724.442624337																																											598
main	1									197824.244176123	21926.7653352665	175897.478840857																																											599
main	1									183150.84941815	21011.2616908122	162139.587727337																																											600
main	1									225386.89042378	23646.4562116277	201740.434212153																																											601
main	1									225319.73152857	23642.2660283513	201677.465500219																																											602
main	1									241483.761698809	24650.7735192222	216832.988179587																																											603
